Categoría,Fecha,Hora,Estudiante,Precio,Dirección,Plus code,Razón no captura de datos,Categorias/observaciones,Promedio,mediana,moda,desviación estandar,valor máximo,valor mínimo,Número de datos,nombre del estudiante sin tilde,categoria sin tilde,direccion sin tilde
Arepa,05/03/2019,10:37,Andrés,2000,calle12b#6-87,67p7hwx6+mg,,arepa de carne con huevo,,,,,,,,Andres,arepa de carne con huevo,calle12b#6-87
Arepa,05/03/2019,10:41,Andrés,2000,carrera 7#12b-42,67p7hwx6+p5,,arepa de huevo,,,,,,,,Andres,arepa de huevo,carrera 7#12b-42
Arepa,05/03/2019,10:41,Andrés,2300,carrera 7#12b-42,67p7hwx6+p5,,arepa de carne con huevo,,,,,,,,Andres,arepa de carne con huevo,carrera 7#12b-42
Arepa,05/03/2019,10:45,Andrés,2000,informal,67p7jw2g+6m,,arepa de huevo,,,,,,,,Andres,arepa de huevo,informal
Arepa,05/03/2019,10:45,Andrés,2000,informal,67p7jw2g+6m,,arepa de carne,,,,,,,,Andres,arepa de carne,informal
Arepa,05/03/2019,10:48,Andrés,1200,carrera7#17-10,67p7jw2g+pm,,arepa boyacense,,,,,,,,Andres,arepa boyacense,carrera7#17-10
Arepa,05/03/2019,10:50,Andrés,1600,carrera7#17-48,67p7jw3h+mg,,arepa con queso,,,,,,,,Andres,arepa con queso,carrera7#17-48
Arepa,05/03/2019,10:53,Andrés,2500,carrera5#16-47,67p7jw2h+wf,,arepa de huevo,,,,,,,,Andres,arepa de huevo,carrera5#16-47
Arepa,05/03/2019,10:59,Andrés,2200,carrera5#16-39,67p7jw2h+rf,,arepa con queso,,,,,,,,Andres,arepa con queso,carrera5#16-39
Arepa,05/03/2019,11:02,Andrés,1800,carrera5#16-15,67p7jw2h+q0,,arepa de maíz,,,,,,,,Andres,arepa de maiz,carrera5#16-15
Arepa,05/03/2019,11:03,Andrés,1600,carrera5#16-01,67p73w2h+p9,,arepa boyacense,,,,,,,,Andres,arepa boyacense,carrera5#16-01
Arepa,05/03/2019,11:06,Andrés,1200,carrera5#12c-65,67p73w2h+q9,,arepa con queso,,,,,,,,Andres,arepa con queso,carrera5#12c-65
Arepa,05/03/2019,11:11,Andrés,2200,carrera6#12c-38,67p7jw2g+9q,,arepa con queso,,,,,,,,Andres,arepa con queso,carrera6#12c-38
Arepa,05/03/2019,11:11,Andrés,3900,calle12#6-26,67p7hwxg+c8,,arepa con carne,,,,,,,,Andres,arepa con carne,calle12#6-26
Arepa,05/03/2019,11:11,Andrés,3900,calle12#6-30,67p7hwxg+h9,,arepa con pollo,,,,,,,,Andres,arepa con pollo,calle12#6-30
Arepa,05/03/2019,11:11,Andrés,2500,calle12#6-56 L-17,67p7hwxg+j8,,arepa de huevo,,,,,,,,Andres,arepa de huevo,calle12#6-56 L-17
Arepa,05/03/2019,11:16,Andrés,1000,calle12#6-56 L-8,67p7hwxg+m7,,arepa boyacense,,,,,,,,Andres,arepa boyacense,calle12#6-56 L-8
Arepa,05/03/2019,11:17,Andrés,1500,calle12#6-56 L-8,67p7hwxg+m7,,arepa de huevo,,,,,,,,Andres,arepa de huevo,calle12#6-56 L-8
Arepa,05/03/2019,11:20,Andrés,1300,carrera5#12b-54,67p7hwxg+m4,,arepa con queso,,,,,,,,Andres,arepa con queso,carrera5#12b-54
Arepa,05/03/2019,11:22,Andrés,1300,carrera5#12b-04,67p7hwxg+7v,,arepa con queso,,,,,,,,Andres,arepa con queso,carrera5#12b-04
Arepa,05/03/2019,11:22,Andrés,1500,calle12#5-69,67p7hwg+9h,,arepa boyacense,,,,,,,,Andres,arepa boyacense,calle12#5-69
Arepa,06/03/2019,10:34,Andrés,5000,calle12#5-38,67p7hwxg+8p,,arepa con queso,,,,,,,,Andres,arepa con queso,calle12#5-38
Arepa,06/03/2019,10:38,Andrés,2000,calle12#4-88,67p7hwxg+5v,,arepa con queso,,,,,,,,Andres,arepa con queso,calle12#4-88
Arepa,06/03/2019,10:45,Andrés,1900,carrera4#12-09,67p7hwxg+7q,,arepa con queso,,,,,,,,Andres,arepa con queso,carrera4#12-09
Arepa,06/03/2019,12:47,Andrés,1500,carrera4#13-04,67p7hwxh+89,,arepa de maíz con queso,,,,,,,,Andres,arepa de maiz con queso,carrera4#13-04
Arepa,06/03/2019,12:55,Andrés,3000,carrera4#13-04,67p7hwxh+89,,arepa con carne y pollo,,,,,,,,Andres,arepa con carne y pollo,carrera4#13-04
Arepa,06/03/2019,11:00,Andrés,3000,carrera4#12c-54,67p7hwxh+rp,,arepa con queso,,,,,,,,Andres,arepa con queso,carrera4#12c-54
Arepa,06/03/2019,11:04,Andrés,2000,calle13#4-92,67p7jwh-89,,arepa boyacense,,,,,,,,Andres,arepa boyacense,calle13#4-92
Arepa,06/03/2019,11:04,Andrés,2800,calle13#4-68,67p7jw2h+8f,,arepa de maíz,,,,,,,,Andres,arepa de maiz,calle13#4-68
Arepa,06/03/2019,11:07,Andrés,1800,calle17#4-37,67p7jw2h+8p,,arepa de huevo,,,,,,,,Andres,arepa de huevo,calle17#4-37
Arepa,06/03/2019,11:42,Andrés,1700,calle17#4-37,67p7jw2h+wv,,arepa con queso,,,,,,,,Andres,arepa con queso,calle17#4-37
Arepa,06/03/2019,11:47,Andrés,2800,calle17#4-73,67p7jw2h+vq,,arepa con huevo y carne,,,,,,,,Andres,arepa con huevo y carne,calle17#4-73
Arepa,06/03/2019,11:54,Andrés,1500,informal,67p7jw2+xm,,arepa con queso,,,,,,,,Andres,arepa con queso,informal
Arepa,06/03/2019,11:57,Andrés,1200,carrera7#21-59,67p7jw4h+vj,,arepa boyacense,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
