Categoría;Fecha;Hora;Estudiante;Precio;Dirección;Plus Code;Razon no captura de datos;Categorías/Observaciones;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;13:40:00;Juan Pablo Calderon;6900;Av Jimenez # 5-32, Bogotá;JW2H+93 Bogotá;;KFC//Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;13:42:00;Juan Pablo Calderon;8900;Av Jimenez # 5-38, Bogotá;JW2H+92 Bogotá;;Century/Corrientazo;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;13:50:00;Juan Pablo Calderon;9000;Cra. 5#12c-45, Bogotá;JW2H+37 Bogotá;;Nativos food and beer/Ejecutivo;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;13:53:00;Juan Pablo Calderon;;Av. Jiménez # 4-95, Bogotá;JW2H+5C Bogotá;No tiene el producto;El Sabor de Lupe/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;27/02/2019;13:55:00;Juan Pablo Calderon;;Av. Jimenez #4-99, Bogotá;JW2H+5F Bogotá;No tiene el producto;La cocina Bacatá/Restaurante sin plato del día, solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;10:50:00;David Medina;13000;Cra. 7 # 12c-40, Bogotá;JW2G+FH Bogotá;;Kaba Parrilla;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:08:00;Nicolas Alvarez;;Cra. 7 # 16-58, Bogotá;JW3G+3X Bogotá;No tiene el producto;Leños y palos, Downtown gourmet/Restaurante sin plato del día,solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:13:00;Juan Pablo Calderon;12000;Cra. 7 # 17-48, Bogotá;JW3H+F4 Bogotá;;Luna Verde/Ejecutivo;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:15:00;David Medina;12000;Cra. 7 # 18-42, Bogotá;JW3H+W8 Bogotá;;Monserrate/Del día/ Centro comercial Monserrate-Local 239;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:18:00;Nicolas Alvarez;;Cra. 7 # 19-74 , Bogotá;JW4H+CF Bogotá;No tiene el producto;Los leñitos/Restaurante sin plato del día,solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:21:00;Juan Pablo Calderon;;Cra. 7 #20-86, Bogotá;JW4H+QH Bogotá;No tiene el producto;Palos de leña/Restaurante sin plato del día,solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:21:00;David Medina;;Cra. 7 #20-86, Bogotá;JW4H+QH Bogotá;No tiene el producto;Contramar/Restaurante sin plato del día,solo platos a la carta;;;;;;;;;;;;;;;;;
Restaurante;01/03/2019;11:22:00;Nicolas Alvarez;;Cra. 7 #21-14, Bogotá;JW4H+RJ Bogotá;No tiene el producto;Sabores del pacifico/Restaurante sin plato del día,solo platos a la carta;;;;;;;;;;;;;;;;;
