cat,date,time,estudent,price,address,pluscode,city,long_code,lat_long,gen,dum_gen,mov,dum_mov,Categorías/Observaciones
Minutos,3/02/2019,10:16:00,Daniel Camilo Tuirán,"150,00",Calle 21 # 5 - 02,JW4J+F5,Bogotá,67P7JW4J+F5,"4.6061875,-74.0695625",,,M,1,
Minutos,3/02/2019,10:21:00,Daniel Camilo Tuirán,"200,00",calle 21 # 6 - 25,JW4H+JR,Bogotá,67P7JW4H+JR,"4.6065625,-74.0704375",,,F,0,
Minutos,3/02/2019,10:24:00,Daniel Camilo Tuirán,"200,00",Calle 22# 6 - 14,JW5H+2W,Bogotá,67P7JW5H+2W,"4.6075625,-74.0701875",,,F,0,
Minutos,3/02/2019,10:29:00,Daniel Camilo Tuirán,"200,00",calle 22 # 4 - 95,JW4J+Q9,Bogotá,67P7JW4J+Q9,"4.6069375,-74.0690625",,,M,1,
Minutos,3/02/2019,10:35:00,Daniel Camilo Tuirán,"200,00",calle 22# 4 - 81,JW4J+PC,Bogotá,67P7JW4J+PC,"4.6068125,-74.0689375",,,F,0,
Minutos,3/02/2019,10:40:00,Daniel Camilo Tuirán,"200,00",calle 22 # 3 - 68,JW4M+84,Bogotá,67P7JW4M+84,"4.6058125,-74.0671875",,,M,1,
Minutos,3/02/2019,10:43:00,Daniel Camilo Tuirán,"200,00",calle 22 #3 - 72,JW4M+74,Bogotá,67P7JW4M+74,"4.6056875,-74.0671875",,,M,1,
Minutos,3/02/2019,10:50:00,Daniel Camilo Tuirán,"200,00",calle 23 # 3a - 36,JW4M+V3,Bogotá,67P7JW4M+V3,"4.6071875,-74.0673125",,,F,0,
Minutos,3/02/2019,10:56:00,Daniel Camilo Tuirán,"200,00",calle 23 # 4 - 09,JW4M+V3,Bogotá,67P7JW4M+V3,"4.6071875,-74.0673125",,,M,1,
Minutos,3/02/2019,11:04:00,Daniel Camilo Tuirán,"200,00",calle 23 # 4 - 08,JW4M+W2,Bogotá,67P7JW4M+W2,"4.6073125,-74.0674375",,,M,1,
Minutos,28/02/2019,3:13:00,Daniel Camilo Tuirán,"200,00",carrera 7 # 22 - 98,JW5H+HR,Bogotá,67P7JW5H+HR,"4.6089375,-74.0704375",,,M,1,
Minutos,28/02/2019,3:20:00,Daniel Camilo Tuirán,"150,00",calle 24 # 6 - 59,JW5J+W2,Bogotá,67P7JW5J+W2,"4.6098125,-74.0699375",,,F,0,
Minutos,28/02/2019,3:27:00,Daniel Camilo Tuirán,"200,00",calle 24 # 4a - 09,JW5J+8W,Bogotá,67P7JW5J+8W,"4.6083125,-74.0676875",,,F,0,
Minutos,28/02/2019,3:36:00,Daniel Camilo Tuirán,"200,00",Carrera 4a #23 80,JW5J+7X,Bogotá,67P7JW5J+7X,"4.6081875,-74.0675625",,,M,1,
Minutos,28/02/2019,3:41:00,Daniel Camilo Tuirán,"200,00",Carrera 5 #22 92,JW5J+6G,Bogotá,67P7JW5J+6G,"4.6080625,-74.0686875",,,F,0,
Minutos,28/02/2019,3:50:00,Daniel Camilo Tuirán,"150,00",Carrera 5 #21 25,JW4J+J6,Bogotá,67P7JW4J+J6,"4.6065625,-74.0694375",,,F,0,
Minutos,28/02/2019,3:56:00,Daniel Camilo Tuirán,"150,00",Carrera 5 #3076,JW4J+95,Bogotá,67P7JW4J+95,"4.6059375,-74.0695625",,,F,0,
